pos,bib,name,team,category,rank,nationality,time,timediff,Delevret,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checruit,Courmayeur,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex La,La Giète,Trient,Les Tseppe,Vallorcine,Col Montet,Flégère,Arrivée,delevret_pos,st-gervais_pos,contamines_pos,la balme_pos,bonhomme_pos,chapieux_pos,col seigne_pos,lac combal_pos,mt-favre_pos,checruit_pos,courmayeur_pos,bertone_pos,bonatti_pos,arnouvaz_pos,col ferret_pos,la fouly_pos,champex la_pos,la giète_pos,trient_pos,les tseppe_pos,vallorcine_pos,col montet_pos,flégère_pos,arrivée_pos
0,4,D'HAENE François,Salomon,SE H,1,FR,19:01:54,00:00:00,113,170,84,20,24,26,0,41,297,317,224,159,0,6,2,0,0,0,0,0,0,0,0,0,8,4,4,4,4,4,0,4,4,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
1,2,JORNET BURGADA Kilian,Salomon,SE H,2,ES,19:16:59,00:15:05,3,126,76,25,95,94,2,44,299,324,255,340,268,375,464,494,572,1081,983,1019,841,859,978,905,4,1,1,0,0,0,4,0,0,0,0,0,4,0,0,4,1,1,1,1,1,1,1,1
2,14,TOLLEFSON Tim,Hoka,SE H,3,US,19:53:00,00:51:06,327,383,332,510,801,1020,1369,1530,1927,2053,2119,2278,2247,2263,-,2506,2643,3050,2821,2999,2912,2941,3272,3066,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,4,2,2,2,2,2,2,2
3,7,THEVENARD Xavier,Asics,SE H,4,FR,20:03:39,01:01:45,114,173,86,25,623,858,1388,1655,2100,2239,2360,2792,2878,3120,3487,3393,3504,3829,3834,3978,3847,3802,3895,3705,0,3,3,3,8,8,8,8,8,8,5,5,5,6,1,2,2,6,6,6,4,4,3,3
4,1,WALMSLEY Jim,Hoka,SE H,5,US,20:11:38,01:09:44,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,325,1842,4558,4233,4111,3650,3789,4226,4184,3,5,8,7,5,5,5,5,5,5,8,7,6,2,4,6,6,5,5,3,3,3,4,4
5,17,CAPELL Pau,The North Face / Buff,SE H,6,ES,20:12:43,01:10:49,199,271,252,233,492,708,996,1127,1611,1627,1594,1941,2134,2413,3044,3328,3505,3822,3812,3981,3970,4081,4551,4249,5,8,5,8,7,3,7,7,6,6,6,6,2,5,6,5,3,3,3,5,6,6,5,5
6,9,BOWMAN Dylan,The North Face,SE H,7,US,20:19:48,01:17:54,261,405,397,510,799,1040,1347,1531,1923,2051,2118,2213,2144,2224,-,2860,3229,3595,3548,3914,3869,4052,4692,4674,7,7,7,5,3,7,6,2,2,2,2,2,8,8,-1,3,5,4,4,4,5,5,6,6
7,13,GRINIUS Gediminas,VIBRAM,SE H,8,LT,21:24:19,02:22:25,257,366,304,172,608,876,1206,1434,1999,2212,2431,-,3451,3757,4423,4819,5467,6344,6508,7116,7451,7687,8492,8545,6,9,9,9,9,9,2,6,7,7,3,-1,3,3,2,8,8,8,8,8,8,8,7,7
8,8,MILLER Zach,THE NORTH FACE,SE H,9,US,21:28:32,02:26:38,0,333,230,192,329,682,792,1027,1470,1616,1743,2193,2443,2944,3484,3875,4337,4874,5212,5939,6565,7583,8576,8798,2,2,2,2,6,2,3,3,3,3,7,3,7,7,5,7,7,7,7,7,7,7,8,8
9,32,GAMITO  Jordi,COMPRESSPORT,SE H,10,ES,21:44:31,02:42:37,331,369,325,444,791,997,1705,1945,2613,2775,2830,3561,4035,4398,5030,5122,6190,7297,7229,7741,8000,8307,9319,9757,9,6,6,6,2,6,9,9,9,9,9,8,9,9,7,9,9,9,9,9,9,9,9,9
